recipe_id,title,ingredients
39,سالاد کینوا,mt-onion|mt-water|mt-garlic|mt-salt|mt-coriander|mt-redbeans|mt-oliveoil|mt-applecidervinegar|mt-blackcumin|mt-corn|mt-redpepper|mt-bellpepper|mt-quinoa
40,سالاد گوجه فرنگی,mt-coriander|mt-blackcumin|mt-lemon|mt-salt|mt-tomatoes|mt-redpepper|mt-onion
41,سالاد لوبیا سفید آلمان,mt-jafari|mt-lemonjuice|mt-sugar|mt-onion|mt-yogurt|mt-cream|mt-lemon|mt-whitebeans|mt-salt|mt-mustardpowder|mt-blackpepper
42,سالاد لوبیا سفید ترکیه,mt-onion|mt-jafari|mt-bellpepper|mt-tomatoes|mt-oliveoil|mt-vinegar|mt-blackpepper|mt-whitebeans|mt-olive|mt-salt
43,سالاد تن ماهی,mt-onion|mt-lemon|mt-cannedtuna|mt-salt|mt-blackpepper|mt-lettucescrew|mt-jafari|mt-oliveoil
44,سالاد هویج,mt-cream|mt-blackcumin|mt-salt|mt-walnut|mt-yogurt|mt-lemon|mt-blackpepper|mt-raisins|mt-carrot
45,لازانیا گوشت و قارچ خامه‌ای,mt-mozzarellacheese|mt-cowmilk|mt-thyme|mt-whiteflour|mt-blackpepper|mt-nutmeg|mt-thyme|mt-mushrooms|mt-korea|mt-cream|mt-garlic|mt-mincedmeat|mt-blackpepper|mt-lasagna|mt-onion|mt-salt|mt-salt
46,آش آبغوره,mt-driedmint|mt-cowpeabeans|mt-vegetableash|mt-onion|mt-sourgrapejuice|mt-tomatoes|mt-chickenjuice|mt-blackpepper|mt-rice|mt-water|mt-salt|mt-turmeric|mt-liquidoil
47,آش آلوچه اصفهان,mt-rice|mt-blackpepper|mt-water|mt-mutton|mt-turmeric|mt-greentomato(plum)|mt-onion|mt-digger|mt-salt|mt-liquidoil
48,آش ترخینه ایلام,mt-vegetableash|mt-blackpepper|mt-tomatoes|mt-cowpeabeans|mt-onion|mt-water|mt-driedmint|mt-salt|mt-tarkhineh|mt-mungbean|mt-turmeric|mt-liquidoil
49,آو تفتاله,mt-nardon|mt-turmeric|mt-whiteflour|mt-apricotleaf|mt-onion|mt-walnut|mt-salt|mt-mountaineer|mt-fig|mt-dates|mt-water|mt-raisins|mt-korea
50,آش گندم زنجان,mt-beef|mt-driedmint|mt-vegetableash|mt-turmeric|mt-cowpeabeans|mt-pintobeans|mt-salt|mt-garlic|mt-lentils|mt-pea|mt-wheat|mt-blackpepper|mt-whitebeans|mt-mungbean|mt-liquidoil|mt-redpepper|mt-onion|mt-water
51,آش ماست زنجان,mt-cowpeabeans|mt-mountaineer|mt-water|mt-vegetableash|mt-pen|mt-greensquash|mt-salt|mt-garlic|mt-rice|mt-mutton|mt-liquidoil|mt-driedmint|mt-purslane|mt-yogurt|mt-pintobeans|mt-onion|mt-pea|mt-lentils
52,آش سبزی شیرازی,mt-turmeric|mt-rice|mt-pintobeans|mt-lemon|mt-blackpepper|mt-torre|mt-lentils|mt-driedtarragon|mt-liquidoil|mt-water|mt-mutton|mt-pea|mt-onion|mt-salt
53,آش اوماج اردبیل,mt-turmeric|mt-whiteflour|mt-lentils|mt-thyme|mt-blackpepper|mt-waterpen|mt-water|mt-liquidoil|mt-salt|mt-onion
54,آوتُخ شوید (آب تخم شوید),mt-water|mt-salt|mt-dillseed|mt-eggs|mt-turmeric|mt-thyme|mt-liquidoil|mt-whiteflour
55,او قارچ,mt-turmeric|mt-apricotleaf|mt-water|mt-dates|mt-mushrooms|mt-whiteflour|mt-mountaineer|mt-salt|mt-nardon|mt-liquidoil
56,ماست جوش,mt-onion|mt-salt|mt-driedmint|mt-eggs|mt-liquidoil|mt-whey|mt-turmeric|mt-blackpepper|mt-water|mt-sesame|mt-tomatoes|mt-oreganoororegano|mt-walnut|mt-yogurt
57,او انگیون,mt-onion|mt-whiteflour|mt-salt|mt-Dry-Angdan|mt-water|mt-sourgrapejuice|mt-liquidoil
58,او گوجه,mt-mountaingarlic|mt-liquidoil|mt-mountaineer|mt-water|mt-blackpepper|mt-salt|mt-tomatoes
59,اشکنه یزدی,mt-eggs|mt-potato|mt-water|mt-onion|mt-marjoram|mt-turmeric|mt-whiteflour|mt-blackpepper|mt-salt|mt-liquidoil
114,تلیت او گوجه باذمجو,mt-liquidoil|mt-blackpepper|mt-eggplant|mt-onion|mt-water|mt-nardon|mt-driedmint|mt-salt|mt-tomatoes
115,اشکنه قزوین,mt-water|mt-blackpepper|mt-potato|mt-onion|mt-tomatoes|mt-turmeric|mt-liquidoil|mt-driedfenugreek|mt-eggs|mt-salt
116,بورانی شنگ,mt-onion|mt-water|mt-sheng|mt-salt|mt-eggs|mt-cotyledons|mt-gravy.|mt-liquidoil|mt-rice|mt-blackpepper
117,بورانی هویج آذربایجان غربی,mt-carrot|mt-salt|mt-water|mt-driedmint|mt-tomatopaste|mt-cinnamon|mt-onion|mt-driedparsley|mt-saffron|mt-rice|mt-cotyledons|mt-liquidoil
118,کله جوش,mt-water|mt-onion|mt-salt|mt-driedmint|mt-blackpepper|mt-walnut|mt-whey|mt-liquidoil|mt-saffron
119,یتیمچه,mt-liquidoil|mt-water|mt-blackpepper|mt-onion|mt-salt|mt-turmeric|mt-tomatoes|mt-eggplant
120,خرما پلو,mt-onion|mt-blackpepper|mt-pistachioslice|mt-chickenbreastmeat|mt-rice|mt-saffron|mt-dates|mt-turmeric|mt-barberry|mt-salt|mt-almondslice|mt-water|mt-liquidoil|mt-raisins
121,چیغیرتما,mt-tomatoes|mt-salt|mt-water|mt-chickenbreastmeat|mt-blackpepper|mt-potato|mt-liquidoil|mt-onion|mt-eggs|mt-turmeric
122,چورک قاتق,mt-yogurt|mt-eggs|mt-whiteflour|mt-water|mt-driedmint|mt-onion|mt-blackpepper|mt-salt|mt-garlic|mt-korea|mt-turmeric
123,قیسی پلو,mt-qiesi|mt-walnut|mt-water|mt-salt|mt-sugar|mt-cinnamon|mt-cowmilk|mt-korea|mt-rice
124,کشمش پلو اردبیل,mt-cowmilk|mt-salt|mt-walnut|mt-sugar|mt-water|mt-rice|mt-cinnamon|mt-raisins|mt-korea
125,اشکنه زردآلو,mt-turmeric|mt-liquidoil|mt-pea|mt-onion|mt-apricotleaf|mt-blackpepper|mt-tomatoes|mt-water|mt-whiteflour|mt-salt
126,لپه برنج,mt-liquidoil|mt-cotyledons|mt-blackpepper|mt-rice|mt-water|mt-onion|mt-chickenmeat|mt-salt
127,شیرین پلو,mt-salt|mt-beef|mt-apricotleaf|mt-turmeric|mt-rice|mt-water|mt-carrot|mt-blackpepper|mt-onion|mt-liquidoil|mt-lavashbread
128,رشته پلو قیسی,mt-ploystring|mt-water|mt-rice|mt-korea|mt-saffron|mt-qiesi|mt-liquidoil|mt-onion
129,سوغان سو,mt-water|mt-salt|mt-blackpepper|mt-onion|mt-liquidoil|mt-driedmint|mt-potato|mt-korea
130,پل سر باقالی,mt-liquidoil|mt-garlic|mt-turmeric|mt-water|mt-eggs|mt-tomatopaste|mt-salt|mt-bean
131,توله پلو,mt-sourorangejuice|mt-water|mt-onion|mt-turmeric|mt-liquidoil|mt-salt|mt-garlic|mt-rice|mt-Cub-Sabzi|mt-blackpepper
132,آبگوشت زابلی,mt-pea|mt-tomatopaste|mt-liquidoil|mt-Spice-Wrench|mt-beef|mt-water|mt-onion|mt-turmeric|mt-salt
133,اشکنه شوتک,mt-water|mt-salt|mt-eggs|mt-dillseed|mt-liquidoil|mt-turmeric
134,اشکنه کِشته,mt-turmeric|mt-water|mt-apricotleaf|mt-onion|mt-liquidoil|mt-salt
135,اشکنه آرد دستمال,mt-whiteflour|mt-water|mt-liquidoil|mt-turmeric|mt-onion|mt-blackpepper|mt-salt
136,اشکنه انار,mt-onion|mt-turmeric|mt-water|mt-pomegranatejuice|mt-liquidoil|mt-driedfenugreek|mt-blackpepper|mt-eggs|mt-salt
137,اشکنه انار ترش,mt-salt|mt-onion|mt-water|mt-whiteflour|mt-blackpepper|mt-liquidoil|mt-salt|mt-turmeric|mt-pomegranatejuice
138,ونوشک پلو,mt-onion|mt-mincedmeat|mt-liquidoil|mt-rice|mt-water|mt-blackpepper|mt-saffron|mt-salt|mt-turmeric|mt-Venushak|mt-tomatopaste
139,دمی شیر,mt-dates|mt-korea|mt-rice|mt-liquidoil|mt-salt|mt-cowmilk
140,پلو ماش,mt-rice|mt-onion|mt-raisins|mt-water|mt-liquidoil|mt-dates|mt-mungbean|mt-korea
141,آش ارده,mt-ardeh|mt-mungbean|mt-datesyrup|mt-rice|mt-water
142,اشکنه بادمجان,mt-salt|mt-Paste-of-Plum|mt-eggplant|mt-tomatoes|mt-potato|mt-liquidoil|mt-blackpepper|mt-garlic|mt-water|mt-turmeric|mt-onion|mt-driedmint
143,آش ترش مازندران,mt-pintobeans|mt-garlic|mt-redbeetroot|mt-redpepper|mt-Special-Vegetables|mt-Paste-of-Plum|mt-salt|mt-Choobuch-Sabzi|mt-greensquash|mt-tomatopaste|mt-turmeric|mt-stringash|mt-pea|mt-liquidoil|mt-lentils|mt-potato|mt-water
144,تَرَکی,mt-cinnamon|mt-liquidoil|mt-water|mt-Anise-Powder|mt-whiteflour|mt-sugarpowder
145,آش قورود قیله,mt-cowpeabeans|mt-vegetableash|mt-garlic|mt-whey|mt-eggplant|mt-turmeric|mt-spicygreenpepper|mt-mutton|mt-salt|mt-wheatbulgur|mt-onion|mt-gravy.|mt-rice|mt-greenbeans|mt-tomatoes|mt-blackpepper|mt-water|mt-liquidoil
146,آش رشته خراسان جنوبی,mt-localplantspounded|mt-lentils|mt-whey|mt-garlic|mt-vegetableash|mt-driedmint|mt-liquidoil|mt-mungbean|mt-onion|mt-boiledlocalplants|mt-potato|mt-pea|mt-stringash|mt-water
147,آش دِنورو,mt-lentils|mt-pea|mt-redbeans|mt-salt|mt-water|mt-wheat|mt-yellowbakala
148,آش دُنگو,mt-whitebeans|mt-waterpen|mt-lentils|mt-salt|mt-wheat|mt-pea|mt-water|mt-turmeric
149,آش تَپیله,mt-salt|mt-turmeric|mt-water|mt-pea|mt-onion|mt-blackpepper|mt-wheat|mt-driedmint|mt-pintobeans|mt-liquidoil
150,شَنگ سرخ شده,mt-qaraqrut|mt-turmeric|mt-onion|mt-sheng|mt-salt|mt-liquidoil|mt-water
151,کوفته قلقلی ساده,mt-onion|mt-salt|mt-mincedmeat|mt-driedmint|mt-liquidoil
152,کوفته قلقلی سرآشپز,mt-liquidoil|mt-turmeric|mt-mincedmeat|mt-driedmint|mt-chickpeaflour|mt-onion|mt-blackpepper|mt-salt
153,پیاز داغ,mt-liquidoil|mt-onion|mt-salt|mt-water|mt-turmeric
154,طرز پخت گوشت,mt-water|mt-salt|mt-blackpepper|mt-cinnamon|mt-beef|mt-turmeric|mt-smellleaf|mt-onion|mt-push
155,طرز تهیه آب قلم,mt-carrot|mt-water|mt-cinnamon|mt-salt|mt-celery|mt-smellleaf|mt-onion|mt-garlic|mt-pen|mt-blackpepper
156,خمیر پیتزا (ضخیم),mt-doughbread|mt-salt|mt-cowmilk|mt-whiteflour|mt-liquidoil|mt-eggs|mt-sugar
157,کوفته قلقلی (پیشنهاد سرآشپز),mt-driedmint|mt-liquidoil|mt-blackpepper|mt-chickpeaflour|mt-onion|mt-turmeric|mt-salt|mt-mincedmeat
158,بورانی پاغازه,mt-garlic|mt-Herbal-Flowers|mt-salt|mt-yogurt|mt-onion|mt-turmeric|mt-blackpepper|mt-eggs|mt-water|mt-liquidoil
159,بورانی کنگر کرمانشاه,mt-eggs|mt-liquidoil|mt-blackpepper|mt-artichoke|mt-onion|mt-water|mt-salt|mt-yogurt
160,املت گوجه فرنگی,mt-eggs|mt-blackpepper|mt-salt|mt-tomatoes|mt-liquidoil
161,سوسیس تخم مرغ,mt-thyme|mt-blackpepper|mt-liquidoil|mt-sausage|mt-salt|mt-eggs
162,سیب و موز عسلی,mt-appletree|mt-almondslice|mt-sesame|mt-banana|mt-cowmilk|mt-walnut|mt-honey
163,موز خامه ای,mt-korea|mt-raisins|mt-honey|mt-walnut|mt-dates|mt-cream|mt-banana
164,محلبی,mt-cream|mt-sugar|mt-cowmilk|mt-cornstarch
165,محلبی گلاب,mt-golab|mt-cowmilk|mt-sugar|mt-cornstarch|mt-cream
166,محلبی بهارنارنج,mt-cream|mt-cornstarch|mt-sugar|mt-cowmilk
167,تخم مرغ با عسل,mt-blackpepper|mt-salt|mt-korea|mt-cinnamon|mt-honey|mt-eggs
168,نیمرو عسلی,mt-blackpepper|mt-korea|mt-eggs|mt-salt
169,فرنی,mt-riceflour|mt-cowmilk|mt-sugar|mt-cream
170,فرنی زعفران,mt-sugar|mt-riceflour|mt-cowmilk|mt-saffron|mt-cream
171,املت خرما و کنجد,mt-salt|mt-coconutpowder|mt-dates|mt-cocoapowder|mt-honey|mt-sesame|mt-korea
172,اوتمیل شکلاتی دارچینی,mt-cocoapowder|mt-Peanut-butter|mt-cowmilk|mt-cinnamon|mt-honey|mt-oatsflask
173,صبحانه انگلیسی,mt-pintobeans|mt-tomatopaste|mt-eggs|mt-turmeric|mt-onion|mt-mushrooms|mt-korea|mt-meatextract|mt-water|mt-sausage|mt-salt|mt-liquidoil|mt-blackpepper
174,املت فرانسوی,mt-potato|mt-eggs|mt-blackpepper|mt-jafari|mt-turmeric|mt-onion|mt-mozzarellacheese|mt-thyme|mt-salt
175,خاگینه تخم مرغ,mt-whiteflour|mt-eggs|mt-bakingpowder|mt-blackpepper|mt-liquidoil|mt-salt
176,اسکرامبل اگ,mt-korea|mt-bakingpowder|mt-cowmilk|mt-eggs|mt-salt
177,املت گوجه فرنگی و فلفل دلمه‌ای,mt-onion|mt-salt|mt-blackpepper|mt-tomatopaste|mt-greenbellpepper|mt-turmeric|mt-tomatoes|mt-liquidoil|mt-eggs
178,رولت فندق و موز,mt-eggs|mt-hazelnut|mt-cocoachocolate|mt-banana|mt-salt|mt-liquidoil|mt-korea
179,املت پیتزایی,mt-liquidoil|mt-blackpepper|mt-corn|mt-salt|mt-cowmilk|mt-bellpepper|mt-bellpepper|mt-lemon|mt-eggs|mt-mozzarellacheese|mt-korea|mt-onion
180,خاگینه مربا,mt-salt|mt-eggs|mt-whiteflour|mt-cinnamon|mt-Jam|mt-almondslice|mt-liquidoil
181,املت قارچ,mt-cowmilk|mt-salt|mt-mushrooms|mt-greenpepper|mt-blackpepper|mt-korea|mt-eggs
182,املت سوسیس و ذرت,mt-sausage|mt-greenpepper|mt-blackpepper|mt-cowmilk|mt-liquidoil|mt-corn|mt-eggs|mt-korea|mt-salt
183,املت سوسیس و سیب زمینی,mt-eggs|mt-onion|mt-sausage|mt-liquidoil|mt-salt|mt-turmeric|mt-blackpepper|mt-potato
184,سالاد میوه خامه ای,mt-appletree|mt-grape|mt-hazelnut|mt-cream|mt-Pineapple-juice|mt-pear|mt-pistachioslice|mt-almondslice|mt-honey|mt-pineapple
185,گل کلم پفی,mt-eggs|mt-vinegar|mt-whiteflour|mt-water|mt-cauliflower|mt-cowmilk|mt-salt|mt-liquidoil
186,دمنوش بادرنجبویه,mt-water|mt-Lemon-Balm
187,دمنوش سنبل الطیب,mt-Valerian|mt-omanilemon(amani)|mt-water|mt-blacktea
188,دمنوش گل گاوزبان,mt-Borage|mt-water
189,دمنوش بابونه و بهارنارنج,mt-honey|mt-Orange-Spring|mt-Chamomile|mt-water
190,دمنوش زرشک و عناب,mt-barberry|mt-Jujube|mt-corianderseeds|mt-water
191,دمنوش به لیمو,mt-water|mt-Lime
192,دمنوش آویشن,mt-water|mt-thyme
193,دمنوش بارهنگ,mt-Rum|mt-Barhang|mt-honey|mt-water
194,دمنوش زعفران با هل و دارچین,mt-water|mt-push|mt-saffron|mt-cinnamon
195,دمنوش به,mt-Dry|mt-water
196,دمنوش سیب و دارچین,mt-water|mt-Dry
197,دمنوش عناب,mt-water|mt-Jujube
198,دمنوش زنجبیل,mt-water|mt-freshginger
199,دمنوش انار,mt-cinnamon|mt-angelica|mt-pomegranate|mt-water
200,چای روسی,mt-blacktea|mt-lemon|mt-honey|mt-water
201,چای یوگسلاوی,mt-lemonjuice|mt-blacktea|mt-honey|mt-water
202,چای ترش,mt-Sour-Tea|mt-water
203,چای دو رنگ,mt-sugar|mt-blacktea|mt-water
204,چای رومی,mt-cinnamon|mt-water|mt-lemonjuice|mt-sugar|mt-blacktea
205,چای آرامش بخش,mt-golab|mt-honey|mt-flowerblossom|mt-blacktea|mt-water
206,شیر و زعفران,mt-cowmilk|mt-saffron|mt-cream|mt-push|mt-sugar
207,چای با لیمو عمانی,mt-omanilemon(amani)|mt-water|mt-blacktea
208,چای سبز,mt-water|mt-Green-Tea
209,چای مراکشی,mt-water|mt-sugar|mt-mint|mt-blacktea
210,چای با ادویه,mt-nutmeg|mt-cinnamon|mt-water|mt-cowmilk|mt-clove|mt-push|mt-mint|mt-blacktea|mt-fennel|mt-sugar
211,هات چاکلت,mt-cornstarch|mt-cowmilk|mt-cocoachocolate|mt-cowmilk
212,چای گرام ماسالا,mt-blackpepper|mt-nutmeg|mt-sugar|mt-cinnamon|mt-push|mt-blacktea|mt-cowmilk|mt-gingerpowder
213,چای سیاه,mt-blacktea|mt-water
214,چای کاراملی,mt-push|mt-blacktea|mt-cinnamon|mt-cowmilk|mt-sugar|mt-water
215,چای هلو,mt-water|mt-Peach-Leaf|mt-honey|mt-blacktea
216,چای عراقی,mt-water|mt-push|mt-blacktea|mt-saffron|mt-sugar
217,چای با شکلات,mt-blacktea|mt-cinnamon|mt-cocoachocolate|mt-water
218,شیر با کره بادام زمینی,mt-Chocolate-Breakfast|mt-cowmilk|mt-Peanut-butter
219,شیر بادام,mt-almond|mt-water
220,کاناپ قارچ,mt-toast|mt-mushrooms|mt-korea|mt-cheese(creamcheese)|mt-sesame
221,گرانولا,mt-liquidoil|mt-raisins|mt-almondslice|mt-sunflowerseeds|mt-joeperk|mt-nutmeg|mt-vanilla|mt-honey|mt-sesame
222,گرانولا با شیر,mt-nutmeg|mt-cowmilk|mt-raisins|mt-almondslice|mt-sunflowerseeds|mt-liquidoil|mt-sesame|mt-joeperk
223,گرانولا با بستنی و میوه و شکلات,mt-joeperk|mt-liquidoil|mt-sunflowerseeds|mt-Chocolate-Sauce|mt-icecream|mt-almondslice|mt-sesame|mt-nutmeg|mt-raisins|mt-pineapple
224,دوغ خیار,mt-drieddill|mt-salt|mt-blackpepper|mt-driedmint|mt-greencucumber|mt-yogurt|mt-water
225,سبزیجات خامه ای,mt-blackpepper|mt-liquidoil|mt-tomatopaste|mt-bellpepper|mt-salt|mt-onion|mt-cheese(creamcheese)|mt-tomatoes|mt-blackcumin
226,توپک پنیری با خشکبار,mt-sesame|mt-raisins|mt-liquidoil|mt-cheese|mt-driedmint|mt-oatsflask|mt-walnut
227,نرگسی اسفناج,mt-spinach|mt-garlic|mt-turmeric|mt-eggs|mt-salt|mt-blackpepper|mt-onion
228,سمبوسه گوشت,mt-blackpepper|mt-tomatopaste|mt-bellpepper|mt-liquidoil|mt-mincedmeat|mt-lavashbread|mt-goudacheese|mt-turmeric|mt-salt|mt-onion
229,توپک پنیر زیتونی,mt-oliveoil|mt-cheese|mt-nigellasativa|mt-sesame|mt-zaatar
230,توپک پنیر و گردو و نعنا,mt-korea|mt-cheese|mt-sesame|mt-driedmint|mt-walnut
231,تست موز با کره بادام زمینی,mt-pistachio|mt-Peanut-butter|mt-toast|mt-banana
232,ساندویچ خرما و گردو,mt-cowmilk|mt-sesame|mt-push|mt-dates|mt-cinnamon|mt-gingerpowder|mt-almondslice|mt-korea|mt-toast|mt-walnut|mt-pistachioslice
233,ساندویچ تن ماهی,mt-toast|mt-lemonjuice|mt-salt|mt-cannedtuna|mt-mayonnaise|mt-onion|mt-blackpepper|mt-water|mt-greenpepper
234,کلاب سبزیجات,mt-celery|mt-blackpepper|mt-greencucumber|mt-jafari|mt-toast|mt-carrot|mt-cheese(creamcheese)|mt-salt|mt-walnut
235,ساندویچ مرغ و جعفری,mt-mayonnaise|mt-toast|mt-salt|mt-onion|mt-blackpepper|mt-lemonjuice|mt-turmeric|mt-chickenbreastmeat|mt-jafari|mt-smellleaf|mt-rosemary|mt-corn|mt-water
236,همبرگر ساده,mt-breadcrumbpowder|mt-pickles|mt-Hamburger-Bread|mt-salt|mt-mincedmeat|mt-lettuce|mt-tomatoes|mt-blackpepper|mt-liquidoil|mt-onion|mt-mustardsauce
237,همبرگر قارچ و پنیر,mt-salt|mt-onion|mt-blackpepper|mt-mustardsauce|mt-korea|mt-mushrooms|mt-breadcrumbpowder|mt-liquidoil|mt-mincedmeat|mt-mozzarellacheese|mt-Hamburger-Bread
238,نیمرو برگر,mt-pickles|mt-breadcrumbpowder|mt-salt|mt-tomatoes|mt-liquidoil|mt-mustardsauce|mt-mincedmeat|mt-eggs|mt-onion|mt-lettuce|mt-Hamburger-Bread|mt-blackpepper
239,چیز برگر,mt-Hamburger-Bread|mt-blackpepper|mt-tomatoes|mt-cheddarcheese|mt-breadcrumbpowder|mt-mustardsauce|mt-salt|mt-lettuce|mt-liquidoil|mt-pickles|mt-onion|mt-mincedmeat
240,ساندویچ مرغ گریل,mt-chickenbreastmeat|mt-blackpepper|mt-paprika|mt-onionpowder|mt-mustardsauce|mt-garlicpowder|mt-salt|mt-barbecuesauce|mt-lemonjuice|mt-thyme|mt-liquidoil
241,هویج و کشمش,mt-hazelnut|mt-gingerpowder|mt-carrot|mt-lemonjuice|mt-korea|mt-honey|mt-cinnamon|mt-sugar|mt-raisins
242,دمنوش مریم گلی,mt-water|mt-Salvia
243,دمنوش ترخون,mt-tarragon|mt-water
244,دمنوش رزماری,mt-water|mt-rosemary
245,دمنوش گل بنفشه,mt-water|mt-Violet-Flowers
246,دمنوش شوید,mt-dillseed|mt-water
247,دمنوش گل زوفا,mt-water|mt-Hyssop
248,دمنوش گل همیشه بهار,mt-Calendula|mt-water
249,دمنوش اسطوخودوس,mt-water|mt-Lavender
